 weather ,  天氣
 sky ,  天空
 wind ,  風
 cold ,  冷的
 hot ,  熱的
 warm ,  溫暖的
 cool ,  涼爽的
 rain ,  雨   下雨
 shower ,  陣雨
 windy ,  有風的
 sunny ,  晴天的
 cloudy ,  多雲的
 rainy ,  雨天的
 snow ,  雪
 typhoon ,  颱風
 blow ,  吹
 wet ,  濕的
 dry ,  乾的
 dark ,  暗的
 clear ,  晴朗的
 date ,  日期
 day ,  天
 month ,  月；月份
 year ,  年
 week ,  星期；週
 weekend ,  週末
 calendar ,  日曆
 noon ,  中午
 when ,  何時
 January ,  一月
 February ,  二月
 March ,  三月
 April ,  四月
 May ,  五月
 June ,  六月
 July ,  七月
 August ,  八月
 September ,  九月
 October ,  十月
 November ,  十一月
 December ,  十二月
 Sunday ,  星期日
 Monday ,  星期一
 Tuesday ,  星期二
 Wednesday ,  星期三
 Thursday ,  星期四
 Friday ,  星期五
 Saturday ,  星期六
 spring ,  春天
 summer ,  夏天
 fall , 秋天
 autumn ,   秋天
 winter ,  冬天
 season ,  季節
 first ,  第一
 second ,  第二
 third ,  第三
 fourth ,  第四
 fifth ,  第五
 sixth ,  第六
 seventh ,  第七
 eighth ,  第八
 ninth ,  第九
 tenth ,  第十
 eleventh ,  第十一
 twelfth ,  第十二
 well ,  很好地
 pretty ,  非常地
 slowly ,  慢慢地
 quickly ,  很快地
 early ,  很早地
 coldly ,  冷漠地
 heavily ,  沉重地；大量地
 quietly ,  靜靜地
 noisily ,  吵雜地
 happily ,  快樂地
 sadly ,  悲傷地
 together ,  一起
 very ,  非常
 almost ,  幾乎
 even ,  甚至
 finally ,  最後
 so ,  如此
 maybe ,  可能
 really ,  真的
 still ,  仍然
 then ,  然後；在那時
 quite ,  非常；相當
 away ,  遠離
 never ,  從不
 seldom ,  很少
 sometimes ,  有時候
 usually ,  經常
 often ,  通常；時常
 always ,  總是
 festival ,  節慶
 holiday ,  假日
 vacation ,  假期
 eve ,  前夕
 New Year's Day ,  新年
 New Year's Eve ,  除夕
 Chinese New Year ,  農曆新年
 Valentine's Day ,  情人節
 Thanksgiving Day ,  感恩節
 Mother's Day ,  母親節
 Father's Day ,  父親節
 Moon Festival ,  中秋節
 Teacher's Day ,  教師節
 Chirstmas ,  聖誕節
 Easter ,  復活節
 Halloween ,  萬聖節
 traditional ,  傳統的
 lucky money ,  壓歲錢
 red envelope ,  紅包
 special ,  特別的
 invite ,  邀請
 pumpkin pie ,  南瓜派
 turkey ,  火雞
 bake ,  烘；烤
 move ,  移動；搬遷
 prepare ,  準備
 hope ,  希望
 wish ,  願望   許願
 celebrate ,  慶祝
 celebration ,  慶祝活動 
 candy ,  糖果
 exchange ,  交換
 gift ,  禮物
 church ,  教堂
 pray ,  祈禱
 decorate ,  裝飾
 Christmas tree ,  聖誕樹
 Santa Claus ,  聖誕老人
 dragon boat ,  龍舟
 moon cake ,  月餅
 rice dumpling ,  粽子
 mean ,  意指
 meaning ,  意義
 city ,  城市
 Taipei ,  台北
 Kaohsiung ,  高雄
 New York ,  紐約
 Sydney ,  雪梨
 London ,  倫敦
 Tokyo ,  東京
 Paris ,  巴黎
 Seoul ,  首爾
 Hong Kong ,  香港
 world ,  世界
 country ,  國家；鄉村
 national ,  國家的
 Taiwan ,  台灣
 Taiwanese ,  台灣人
 R.O.C. ,  中華民國
 China ,  中國
 Europe ,  歐洲
 America ,  美國
 American ,  美國人
 Chinese ,  中文   中國的
 English ,  英文   英文的
 travel ,  旅行
 trip ,  旅遊
 plan ,  計畫
 decide ,  決定
 ride ,  騎乘
 visit ,  拜訪
 hotel ,  旅館
 fair ,  市集；展覽
 activity ,  活動
 hit ,  紅極一時的事物
 show ,  展示
 pack ,  整理行李
 leave ,  離開
 arrive ,  到達
 postcard ,  明信片
 scenery ,  風景
 color ,  顏色
 red ,  紅色   紅色的 
 orange ,  橘色   橘色的
 yellow ,  黃色   黃色的
 green ,  綠色   綠色的
 brown ,  棕色   棕色的
 blue ,  藍色   藍色的
 pink ,  粉紅色   粉紅色的
 purple ,  紫色   紫色的
 gray ,  灰色   灰色的
 black ,  黑色   黑色的
 white ,  白色   白色的
 light ,  淺色的
 dark ,  深色的
 clothes ,  衣物
 bag ,  袋子
 dress ,  洋裝
 shirt ,  襯衫
 T-shirt ,  T恤
 skirt ,  裙子
 hat ,  帽子
 pants ,  褲子
 jeans ,  牛仔褲
 shoe ,  鞋子
 coat ,  外套
 jacket ,  夾克
 glove ,  手套
 sock ,  襪子
 sunglasses ,  太陽眼鏡
 sweater ,  毛衣
 uniform ,  制服
 towel ,  毛巾
 umbrella ,  雨傘
 wear ,  穿
 swimsuit ,  泳衣
 cap ,  鴨舌帽
 belt ,  皮帶
 go shopping ,  購物
 buy ,  買
 bring ,  帶來
 get ,  得到
 give ,  給
 pay ,  付款
 clerk ,  店員
 cheek ,  核對
 list ,  表單
 fare ,  費用
 store ,  商店
 sell ,  出售
 sale ,  拍賣
 change ,  零錢
 tip ,  小費
 free ,  免費的
 cheap ,  便宜的
 expensive ,  昂貴的
 spend ,  花錢；花時間
 cost ,  花費；價值
 money ,  錢
 which ,  哪一個
 whose ,  誰的
 high ,  高的
 low ,  低的
 price ,  價錢
 become ,  成為
 take ,  帶走
 next ,  下一個
 last ,  上一個；最後的
 born ,  出生的
 several ,  幾個
 will ,  將要
 teenager ,  青少年
 be ,  是
 tomorrow ,  明天
 future ,  未來
 kid ,  孩童
 adult ,  成人   成人的
 grown-up ,  已成熟的
 foreign ,  外國的
 foreigner ,  外國人
