 plant   植物,
 bush   灌木叢,
 tree   樹,
 root   根,
 flower   花,
 rose   玫瑰花,
 fruit   水果,
 apple   蘋果,
 banana   香蕉,
 guava   番石榴,
 lemon   檸檬,
 orange   柳橙,
 peach   桃子,
 pear   西洋梨,
 watermelon   西瓜,
 papaya   木瓜,
 grape   葡萄,
 strawberry   草莓,
 mango   芒果,
 tomato   番茄,
 vegetable   蔬菜,
 bean   豆,
 lettuce   生菜；萵苣,
 pumpkin   南瓜,
 animal   動物,
 pet   寵物,
 pig   豬,
 rabbit   兔子,
 bird   鳥,
 fish   魚,
 snake   蛇,
 bear   熊,
 cat   貓,
 cow   牛,
 duck   鴨,
 dog   狗,
 goat   山羊,
 elephant   大象,
 lion   獅子,
 tiger   老虎,
 horse   馬,
 monkey   猴子,
 mouse   老鼠,
 mice    老鼠,
 fox   狐狸,
 frog   青蛙,
 goose      鵝,
 geese  鵝(複數),
 hippo       河馬,
 kangaroo   袋鼠,
 panda   貓熊,
 sheep   綿羊,
 zebra   斑馬,
 bat   蝙蝠,
 spider   蜘蛛,
 shark   鯊魚,
 turtle   龜,
 whale   鯨魚,
 koala   無尾熊,
 ox  公牛,
 oxen    公牛(複數),
 ant   螞蟻,
 butterfly   蝴蝶,
 bee   蜜蜂,
 environment   環境,
 temperature   溫度,
 sun   太陽,
 moon   月亮,
 sky   天空,
 air   空氣,
 cloud   雲,
 star   星星,
 rainbow   彩虹,
 space   太空,
 earth   地球,
 mountain   山,
 river   河,
 sea   海,
 ocean   洋,
 beach   海灘,
 sand   沙,
 lake   湖,
 pond   池塘,
 land   陸地,
 oil   油,
 coast   海岸,
 scenery   景色,
 farm   農村,
 city   城市,
 country   鄉村,
 building   建築物,
 place   地方,
 village   村落,
 town   小鎮,
 factory   工廠,
 house   房子,
 home   家,
 yard   院子,
 recycle   回收,
 produce   產生,
 noise   噪音,
 pollution   汙染,
 waste   浪費,
 sort   分類 ,
 trash   無用之物,
 use   使用,
 grow   種植,
 keep   保持,
 fly   飛 ,
 bark   吠,
 kill   殺,
 bite   咬,
 visit   參觀,
 miss   想念,
 complain   抱怨,
 shake   搖動,
 horrible   恐怖的,
 earthquake   地震,
 power   力量,
 fire   火,
 smoke   煙,
 fault   錯誤；過錯,
 group   群,
 kind   種類   仁慈的,
 anything   任何事,
 nothing   沒事,
 be born   出生,
 move   移動；搬動,
 touch   碰觸,
 jump   跳,
 live   生活,
 eye   眼睛,
 ear   耳朵,
 nose   鼻子,
 leg   腿,
 foot      腳,
 feet      腳(複數),
 hand   手,
 finger   手指,
 toe   腳趾,
 tooth     牙齒 ,
 teeth     牙齒(複數),
 lip   唇,
 hair   頭髮,
 feather   羽毛,
 tongue   舌頭,
 neck   脖子,
 arm   手臂,
 stomach   胃,
 heart   心；心臟,
 health   健康,
 healthy   健康的,
 habit   習慣,
 keep   保持,
 sick   生病的,
 fit   苗條的,
 fat   肥胖的,
 strong   強壯的,
 tired   疲倦的,
 clear   清楚的,
 weak   虛弱的,
 well   良好的,
 comfortable   舒適的,
 medicine   藥,
 weigh   秤重,
 weight   體重,
 kilogram   公斤,
 headache   頭痛,
 fever   發燒,
 cold   感冒,
 cancer   癌症,
 burn   燒,
 hurt   傷害,
 cut   剪；切,
 broken   斷了的,
 disease   疾病,
 scared   害怕的,
 examine   檢查,
 pain   痛苦,
 checkup   檢查,
 prescription   處方,
 rest   休息,
 breathe   呼吸,
 look   看起來,
 feel   感覺起來,
 smell   聞起來,
 taste   嚐起來,
 sound   聽起來,
 get   變得；得到,
 become   變成,
 see   看見,
 watch   看著,
 hear   聽到,
 wallet   皮夾,
 ticket   票；券,
 same   相同的,
 different   不同的,
 sport   運動,
 baseball   棒球,
 basketball   籃球,
 soccer   足球,
 football   橄欖球,
 camp   露營,
 jog   慢跑,
 swim   游泳,
 jump rope   跳繩,
 tennis   網球,
 exercise   運動,
 lose   輸,
 win   贏,
 point   分；點,
 catch   接,
 throw   丟、擲,
 fishing   釣魚,
 cooking   烹飪,
 climbing   爬山,
 shopping   購物,
 dancing   跳舞,
 collect   蒐集,
 game   遊戲；比賽,
 movie   電影,
 band   樂團,
 kite   風箏,
 toy   玩具,
 doll   洋娃娃,
 song   歌曲,
 famous   有名的,
 popular   受歡迎的；流行的,
 diary   日記,
 surf   上網瀏覽,
 music   音樂,
 piano   鋼琴,
 guitar   吉他,
 drum   鼓,
 violin   小提琴,
 dream   夢；夢想   做夢,
 successful   成功的,
 joy   喜悅,
 proud   引以為傲的,
 blind   盲的,
 ideal   理想的,
 hope   希望,
 count   數,
 imagine   想像,
 talent   才能,
 special   特別的,
 married   已婚的,
 mate   伴侶,
 company   公司,
 office   辦公室,
 work   工作,
 job   職業,
 as   當作,
 busy   忙碌的,
 myself   我自己,
 yourself   你自己,
 himself   他自己,
 herself   她自己,
 itself   它自己,
 themselves   他們自己,
 yourselves   你們自己,
 ourselves   我們自己,
