 interested ,  感到興趣的
 exciting ,  令人興奮的
 excited ,  感到興奮的
 surprising ,  令人驚訝的
 surprised ,  感到驚訝的
 bored ,  感到無聊的
 worried ,  擔心的
 tired ,  感到疲倦的
 tiring ,  令人厭倦的
 experience ,  經驗
 happen ,  發生
 stay ,  停留
 hold ,  舉行
 problem ,  問題
 change ,  改變
 hurry ,  趕忙；急忙
 let ,  讓
 fair ,  展覽
 entrance ,  入口
 exit ,  出口
 lab ,  實驗室
 toilet ,  廁所
 foot ,  英呎
 kilogram ,  公斤
 mile ,  英哩
 pound ,  磅
 line ,  線
 point ,  點
 size ,  尺寸
 shape ,  形狀
 square ,  四方形
 circle ,  圓
 round ,  原的
 high ,  高的
 large ,  大的
 long ,  長的
 little ,  小的
 low ,  低的
 short ,  短的
 light ,  輕的
 heavy ,  重的
 medium ,  中等的
 bottle ,  瓶
 cup ,  杯
 dozen ,  一打
 package ,  一套
 pair ,  一對
 million ,  百萬
 billion ,  十億
 ad ,  廣告
 brand ,  品牌
 note ,  備忘錄
 fun ,  樂趣
 already ,  已經
 yet ,  尚未
 since ,  自從
 for ,  為了
 until ,  直到
 so ,  如此
 public ,  大眾的；公立的
 off ,  折扣
 sale ,  拍賣
 notice ,  注意
 save ,  節省
 either ,  也不～
 neither , 也不～
 communication ,  溝通 
 dialogue ,  對話
 choose ,  選擇
 discuss ,  討論
 think ,  想
 share ,  分享
 agree ,  同意
 lie ,  謊言
 truth ,  真實；實話
 joke ,  笑話
 story ,  故事
 laugh ,  笑
 mind ,   心智   介意
 find ,  發現
 care ,  在意
 invite ,  邀請
 excuse ,  藉口   原諒
 reason ,  原因
 mistake ,  錯誤
 deal ,  交易   處理
 idea ,  想法
 shut ,  關上
 show ,  展現
 try ,  試
 drop ,  掉落
 important ,  重要的
 great ,  棒的
 illegal ,  非法的
 kind ,  仁慈的
 friendly ,  友善的
 honest ,  誠實的
 strange ,  奇怪的；陌生的
 dirty ,  髒的
 impossible ,  不可能的
 true ,  真的
 fake ,  仿冒的
 sweet ,  甜的
 gone ,  不見了
 lost ,  遺失的
 make ,  交往
 lonely ,  寂寞的
 know ,  認識
 understand ,  了解
 hug ,  擁抱
 dear ,  親愛的
 person ,  人
 gald ,  高興的
 helpful ,  有幫助的
 lucky ,  幸運的
 seem ,  看起來；似乎
 wait ,  等待
 exchange ,  交換
 mean ,  意指
 crazy ,  瘋狂的
 wedding ,  婚禮
 mate ,  伴侶
 stamp ,  郵票
 mail ,  信件   寄信
 send ,  寄
 letter ,  信
 address ,  地址
 postcard ,  明信片
 zip code ,  郵遞區號
 package ,  包裹
 postman ,  郵差
 envelope ,  信封
 computer ,  電腦
 screen ,  螢幕
 mouse ,  滑鼠
 case ,  外殼
 on-line ,  上網的
 link ,  連接
 system ,  系統
 type ,  類型  打字
 disk ,  磁片
 use ,  使用
 spend ,  花費
 part ,  部分
 software ,  軟體
 hardware ,  硬體
 hard disk ,  硬碟
 keyboard ,  鍵盤
 lap ,  線圈
 surf ,  瀏覽
 website ,  網址
 e-mail ,  電子郵件  寄電子郵件
 enter ,  進入
 username ,  使用者名稱
 Internet ,  網際網路
 password ,  密碼
 discussion group ,  討論群組
 modern ,  現代的
 create ,  創造
 model ,  模型
 invention ,  發明
 national ,  國內的
 imagine ,  想像
 television ,  電視
 radio ,  收音機
 digital ,  數位的
 camera ,  照相機
 video ,  錄影帶
 tape ,  錄音帶
 machine ,  機器
 top ,  頂端
 printer ,  印表機
 technology ,  科技
 recorder ,  錄音機
 MP3  一種聲音的壓縮格式
 newspaper ,  報紙
 news ,  新聞
 knowledge ,  知識
 common ,  普遍的
 information ,  資訊
 latest ,  最新的
 program ,  節目
 channel ,  頻道
 control ,  控制
 choose ,  選擇
 chance ,  機會
 opportunity ,  機會
 cell phone ,  手機
 telephone ,  電話
 fax ,  傳真
 answering machine ,  電話答錄機
 line ,  電話線
 hold ,  握
 ring tone ,  來電鈴聲
 message ,  留言
 about ,  關於
 with ,  有
 without ,  沒有
 several ,  幾個的；少許的
 maybe ,  可能
 perhaps ,  或許
 enough ,  足夠的
 end ,  結束
 still ,  依然
 convenient ,  方便的
 then ,  然後
 away ,  遠離
 almost ,  幾乎
 finally ,  終於
 quite ,  相當地
 useful ,  有用的
