 school   學校,
 elementary school   小學,
 junior high school   國中,
 semester   學期,
 classroom   教室,
 blackboard   黑板,
 library   圖書館,
 gym   體育館,
 playground   操場,
 team   隊伍,
 grade   成績；年級,
 cram school   補習班,
 senior high school   高中,
 quiet   安靜的,
 noisy   吵雜的,
 easy   簡單的,
 difficult   困難的,
 hard   難的   努力地,
 useful   有用的,
 careful   小心的,
 slow   緩慢的,
 quick   快的,
 wise   明智的,
 polite   有禮的,
 busy   忙碌的,
 loud   大聲的,
 late   遲的,
 early   早的,
 hard-working   努力的,
 lucky   幸運的,
 strict   嚴厲的,
 ready   準備好的,
 energetic   充滿活力的,
 together   一起,
 hurry   趕快,
 talent   才能,
 practice   練習,
 finish   完成,
 give up   放棄,
 play   玩,
 join   參與,
 get   得到,
 graduate   畢業,
 before   之前   以前,
 after   之後,
 over   超過,
 for   為了,
 from   從,
 to   到,
 why  ,
 yesterday   昨天,
 again   再一次,
 last   上一個,
 ago   在…以前,
 was   是 ,
 were   是 ,
 preview   預習,
 review   複習,
 concentrate   專注 ,
 learn   學習,
 try   嘗試,
 prepare   準備,
 forget   忘記,
 remember   記得,
 need   需要,
 spell   拼字,
 tell   告訴,
 talk   談論,
 say   說,
 listen   聽,
 ask   問,
 follow   隨著,
 draw   畫,
 answer   回答,
 question   問題,
 understand   了解,
 check   檢查,
 pass   通過；及格,
 correct   改正,
 learner   學習者,
 sentence   句子,
 word   字,
 answer   答案,
 check   檢查,
 notebook   筆記本,
 workbook   習作簿,
 homework   作業,
 tip   秘訣,
 page   頁,
 test   測驗,
 exercise   練習題,
 letter   字母；信,
 comic book   漫畫書,
 novel   小說 ,
 conversation   會話,
 knowledge   知識,
 paper   紙,
 dictionary   字典,
 language   語言,
 example   例子,
 mistake   錯誤,
 genius   天才,
 lesson   課 ,
 subject   科目,
 English   英文,
 Chinese   中文,
 Mathematics   數學,
 science   科學,
 PE class   體育課,
 art   美術,
 music   音樂,
 history   歷史,
 geography   地理,
 biology   生物,
 shy   害羞的,
 upset   不安的,
 unhappy   不快樂的,
 terrible   可怕的；糟糕的,
 enjoy   喜愛,
 hate   討厭,
 love   愛,
 like   喜歡,
 afraid   害怕的,
 scared   驚恐的,
 boring   無聊的,
 interesting   有趣的,
 favorite   最喜愛的,
 tired   厭倦的,
 more   較多的,
 less   較少的,
 better   較好的,
 worse   較糟的,
 bigger   大一點的,
 stronger   較強的,
 smaller   小一點的,
 longer   長一點的,
 more expensive   較貴的,
 cheaper   較便宜的,
 best   最好的,
 worst   最糟的,
 most   最多的,
 least   最少的,
 most expensive   最貴的,
 cheapest   最便宜的,
 why   為什麼,
 which   哪一個,
 anything   任何事,
 everything   每件事,
 everyone   每個人,
 something   某件事,
 someone   某個人,
 each   每一個,
 other   其他的,
 another   另一個,
 train   火車,
 taxi   計程車,
 bus   巴士；公車,
 subway   地下鐵,
 bicycle  / bike   腳踏車,
 motorcycle   機車,
 scooter   小型機車,
 car   汽車,
 truck   卡車,
 ship   船,
 boat   小舟,
 airplane   飛機,
 flight   班機,
 on foot  走路,
 traffic   交通,
 rule   規則,
 take   搭乘,
 ride   騎,
 drive   開車,
 passenger   乘客,
 driver   司機,
 get on  上車,
 get off  下車,
 get out of  下車,
 notice   注意,
 jam   塞車,
 accident   意外事故,
 bump   撞,
 hit   撞傷,
 seat belt   安全帶,
 arrive   抵達,
 cross   跨越,
 park   停車,
 follow   遵守,
 leave   離開,
 way   道路；方法,
 map   地圖,
 stop   停,
 lost   迷失的,
 miss   錯過,
 find   找到,
 get   得到,
 turn   轉,
 block   街區,
 corner   街角,
 left   左方的,
 right   右方的,
 street   街,
 road   路,
 across   跨過,
 bridge   橋,
 railway   鐵路,
 sidewalk   人行道,
 between   在～中間,
 along   沿著,
 by   藉由,
 above   在～之上,
 during   在～期間,
 over   在～上方,
 into   進入,
 below   在～底下,
 behind   在～後面,
 inside   在～裡面,
 outside   在～外面,
 supermarket   超市,
 bank   銀行,
 bakery   麵包店,
 bookstore   書局,
 temple   寺廟,
 church   教堂,
 police station   警察局,
 stop   停車站,
 station   車站,
 theater   戲院,
 hospital   醫院,
 post office   郵局,
 city hall   市政府,
 center   中心,
 airport   機場,
 hotel   旅館,
 market   市場,
 museum   博物館,
 shop   商店,
 store   商店,
 zoo   動物園,
 parking space   停車場,
 restroom   洗手間,
 restaurant   餐廳,
 east   東方   東方的   向東,
 north   北方   北方的   向北,
 west   西方   西方的   向西,
 south   南方   南方的   向南,
 direction   方向,
 sign   標誌,
 exit   出口,
 entrance   入口,
 fast   快速的,
 comfortable   舒適的,
 dangerous   危險的,
 safe   安全的,
 air-conditioned   有空調的,
