 person ,  人
 people ,  人們
 neighbor ,  鄰居
 roommate ,  室友
 volunteer ,  志願者
 apartment ,  公寓
 stair ,  樓梯
 closet ,  衣櫥
 roof ,  屋頂
 fix ,  修理
 mop ,  拖地
 sweep ,  掃地
 shower ,  淋浴
 vacume ,  用吸塵器吸
 grass ,  草地
 ground ,  地上
 garbage ,  垃圾
 housework ,  家事
 modern ,  現代的
 fashionable ,  流行的
 front ,  前面的
 fold ,  摺疊
 home ,  家
 house ,  房子
 stairs ,  樓梯
 floor ,  樓層
 garden ,  花園
 yard ,  庭院
 soap ,  肥皂
 toothbrush ,  牙刷
 toilet paper ,  衛生紙
 can ,  罐頭
 oven ,  烤箱
 stove ,  爐子
 gas ,  瓦斯
 refrigerator ,  冰箱
 brush ,  刷
 paint ,  油漆
 doorbell ,  門鈴
 ring ,  鈴響
 lamp ,  檯燈
 light ,  燈光
 throw ,  丟；擲
 heat ,  熱
 battery ,  電池
 mirror ,  鏡子
 powder ,  粉
 air conditioner ,  冷氣機
 carry ,  攜帶
 mark ,  汙點
 leave ,  離開
 grow ,  成長
 hometown ,  家鄉
 push ,  推
 pull ,  拉
 shut ,  關上
 into ,  進入
 really ,  真地
 just ,  僅僅
 past ,  過去   過去的 
 death ,  死亡
 war ,  戰爭
 peace ,  和平
 reason ,  理由
 seat ,  座位
 circle ,  圓
 space ,  空位
 guide dog ,  導盲犬
 stray dog ,  流浪犬
 action ,  行動
 center ,  中心
 cover ,  封面
 congratulation ,  恭喜
 matter ,  事情
 mind ,  心意   介意
 each ,  每一個
 protect ,  保護
 interview ,  訪問；面談
 record ,  記錄
 cheer ,  歡呼
 arrive ,  抵達
 copy ,  複製
 come ,  來
 count ,  計算
 drop ,  掉落
 kick ,  踢
 hold ,  拿；抱住
 lock ,  鎖上
 nod ,  點頭
 repeat ,  重複
 cheat ,  欺騙
 appear ,  出現
 date ,  約會
 give ,  給
 hide ,  躲藏
 lead ,  帶領
 quit ,  停止
 wake ,  喚醒
 welcome ,  歡迎
 breathe ,  呼吸
 mix ,  混合
 bright ,  明亮的
 clear ,  清楚的
 correct ,  正確的
 crowded ,  擁擠的
 crazy ,  瘋狂的
 creative ,  有創意的
 dear ,  親愛的
 excellent ,  很棒的
 final ,  最後的
 helpful ,  有幫助的
 illegal ,  非法的
 silly ,  可笑的；傻的
 such ,  如此的
 plastic ,  塑膠的
 touching ,  令人感動的
 underground ,  地下的
 unforgettable ,  令人難忘的
 middle ,  中間的
 simple ,  簡單的
 common ,  普遍的
 alone ,  獨自地
 also ,  也
 especially ,  特別地
 everywhere ,  到處
 forever ,  永遠
 inside ,  在～裡面
 outside ,  在～外面
 somewhere ,  某處
 suddenly ,  突然地
 around ,  四處；附近
 away ,  離開
 as ,  如同
 during ,  在～期間
 solve ,  解決
 make ,  使
 save ,  救；儲存；節省
 avoid ,  避免
 fall ,  掉落
 happen ,  發生
 cover ,  覆蓋；掩護
 vote ,  選舉
 excuse ,  藉口
 end ,  結束
 belong ,  屬於
 law ,  法律
 habit ,  習慣
 examine ,  檢查
 meet ,  遇見
 need ,  需要
 burn ,  燒
 problem ,  問題
 fact ,  事實
 reason ,  理由
 possible ,  可能的 
 heart ,  心
 trouble ,  麻煩
 steal ,  偷
 lose ,  遺失；輸
 win ,  贏
 cut ,  剪；切
 proud ,  驕傲的
 side ,  邊；面
 careful ,  仔細的
 poor ,  貧窮的
 rich ,  富有的
 catch ,  捕捉
 simple ,  簡單的
 appear ,  出現
 lie ,  謊言   說謊
 truth ,  實話
 criticize ,  批評
 except ,  除了
 guess ,  猜
 personal ,  個人的
 serious ,  認真的；嚴肅的
 no matter ,  無論
